,State,State ABBR,Prescribing Rate,Year
485,Montana,MT,73.3,2015
486,Nebraska,NE,65.5,2015
487,Nevada,NV,85.4,2015
488,New Hampshire,NH,74.8,2015
489,New Jersey,NJ,56.0,2015
490,New Mexico,NM,69.8,2015
491,New York,NY,45.1,2015
492,North Carolina,NC,88.4,2015
493,North Dakota,ND,53.0,2015
494,Ohio,OH,82.7,2015
495,Oklahoma,OK,104.4,2015
496,Oregon,OR,84.2,2015
497,Pennsylvania,PA,75.5,2015
498,Rhode Island,RI,65.7,2015
499,South Carolina,SC,95.1,2015
500,South Dakota,SD,59.1,2015
501,Tennessee,TN,114.9,2015
502,Texas,TX,59.8,2015
503,Utah,UT,74.4,2015
504,Vermont,VT,60.1,2015
505,Virginia,VA,68.1,2015
506,Washington,WA,69.8,2015
507,West Virginia,WV,111.3,2015
508,Wisconsin,WI,67.5,2015
509,Wyoming,WY,75.4,2015
510,Alabama,AL,121.0,2016
511,Alaska,AK,58.9,2016
512,Arizona,AZ,70.2,2016
513,Arkansas,AR,114.6,2016
514,California,CA,44.8,2016
515,Colorado,CO,59.8,2016
516,Connecticut,CT,55.9,2016
517,Delaware,DE,79.2,2016
518,District of Columbia,DC,32.5,2016
519,Florida,FL,66.6,2016
520,Georgia,GA,77.8,2016
521,Hawaii,HI,41.9,2016
522,Idaho,ID,77.6,2016
523,Illinois,IL,56.8,2016
524,Indiana,IN,83.9,2016
525,Iowa,IA,64.0,2016
526,Kansas,KS,76.9,2016
527,Kentucky,KY,97.2,2016
528,Louisiana,LA,98.1,2016
529,Maine,ME,66.9,2016
530,Maryland,MD,58.7,2016
531,Massachusetts,MA,47.1,2016
532,Michigan,MI,84.9,2016
533,Minnesota,MN,46.9,2016
534,Mississippi,MS,105.6,2016
535,Missouri,MO,80.4,2016
536,Montana,MT,69.8,2016
537,Nebraska,NE,62.8,2016
538,Nevada,NV,80.7,2016
539,New Hampshire,NH,64.3,2016
540,New Jersey,NJ,52.6,2016
541,New Mexico,NM,65.1,2016
542,New York,NY,42.7,2016
543,North Carolina,NC,82.5,2016
544,North Dakota,ND,47.8,2016
545,Ohio,OH,75.3,2016
546,Oklahoma,OK,97.9,2016
547,Oregon,OR,76.3,2016
548,Pennsylvania,PA,69.5,2016
549,Rhode Island,RI,60.3,2016
550,South Carolina,SC,89.4,2016
551,South Dakota,SD,54.8,2016
552,Tennessee,TN,107.5,2016
553,Texas,TX,57.6,2016
554,Utah,UT,70.4,2016
555,Vermont,VT,58.6,2016
556,Virginia,VA,63.4,2016
557,Washington,WA,64.9,2016
558,West Virginia,WV,96.0,2016
559,Wisconsin,WI,62.2,2016
560,Wyoming,WY,71.1,2016
561,Alabama,AL,107.2,2017
562,Alaska,AK,52.0,2017
563,Arizona,AZ,61.2,2017
564,Arkansas,AR,105.4,2017
565,California,CA,39.5,2017
566,Colorado,CO,52.9,2017
567,Connecticut,CT,48.0,2017
568,Delaware,DE,68.3,2017
569,District of Columbia,DC,28.5,2017
570,Florida,FL,60.9,2017
571,Georgia,GA,70.9,2017
572,Hawaii,HI,37.0,2017
573,Idaho,ID,70.3,2017
574,Illinois,IL,51.1,2017
575,Indiana,IN,74.2,2017
576,Iowa,IA,56.4,2017
577,Kansas,KS,69.8,2017
578,Kentucky,KY,86.8,2017
579,Louisiana,LA,89.5,2017
580,Maine,ME,55.7,2017
581,Maryland,MD,51.7,2017
582,Massachusetts,MA,40.1,2017
583,Michigan,MI,74.2,2017
584,Minnesota,MN,41.0,2017
585,Mississippi,MS,92.9,2017
586,Missouri,MO,71.8,2017
587,Montana,MT,61.1,2017
588,Nebraska,NE,56.6,2017
589,Nevada,NV,73.0,2017
590,New Hampshire,NH,52.8,2017
591,New Jersey,NJ,44.2,2017
592,New Mexico,NM,56.4,2017
593,New York,NY,37.8,2017
594,North Carolina,NC,72.0,2017
595,North Dakota,ND,41.5,2017
596,Ohio,OH,63.5,2017
597,Oklahoma,OK,88.1,2017
598,Oregon,OR,66.1,2017
599,Pennsylvania,PA,57.7,2017
600,Rhode Island,RI,51.2,2017
601,South Carolina,SC,79.3,2017
602,South Dakota,SD,49.0,2017
603,Tennessee,TN,94.4,2017
604,Texas,TX,53.1,2017
605,Utah,UT,63.8,2017
606,Vermont,VT,50.5,2017
607,Virginia,VA,52.9,2017
608,Washington,WA,57.2,2017
609,West Virginia,WV,81.3,2017
610,Wisconsin,WI,52.6,2017
611,Wyoming,WY,64.8,2017
612,United States,US,51.4,2018
613,Alaska,AK,44.9,2018
614,Alabama,AL,97.5,2018
615,Arkansas,AR,93.5,2018
616,Arizona,AZ,50.7,2018
617,California,CA,35.1,2018
618,Colorado,CO,45.1,2018
619,Connecticut,CT,43.0,2018
620,District of Columbia,DC,25.0,2018
621,Delaware,DE,60.6,2018
622,Florida,FL,53.7,2018
623,Georgia,GA,63.2,2018
624,Hawaii,HI,33.4,2018
625,Iowa,IA,49.3,2018
626,Idaho,ID,61.9,2018
627,Illinois,IL,45.2,2018
628,Indiana,IN,65.8,2018
629,Kansas,KS,64.3,2018
630,Kentucky,KY,79.5,2018
631,Louisiana,LA,79.4,2018
632,Massachusetts,MA,35.3,2018
633,Maryland,MD,45.1,2018
634,Maine,ME,48.1,2018
635,Michigan,MI,62.7,2018
636,Minnesota,MN,35.5,2018
637,Missouri,MO,63.4,2018
638,Mississippi,MS,76.8,2018
639,Montana,MT,54.0,2018
640,North Carolina,NC,61.5,2018
641,North Dakota,ND,37.4,2018
642,Nebraska,NE,50.6,2018
643,New Hampshire,NH,46.1,2018
644,New Jersey,NJ,38.9,2018
645,New Mexico,NM,49.4,2018
646,Nevada,NV,55.5,2018
647,New York,NY,34.0,2018
648,Ohio,OH,53.5,2018
649,Oklahoma,OK,79.1,2018
650,Oregon,OR,57.3,2018
651,Pennsylvania,PA,49.9,2018
652,Rhode Island,RI,43.0,2018
653,South Carolina,SC,69.2,2018
